SMILES	STRID
C[S](=O)(=O)C1=CC=C(C=C1)C(=O)CBr	EN300-11685
CCN(C1=CC=C(C=C1)C(=O)CCl)[S](=O)(=O)C	EN300-12226
ClCC(=O)C(=C1NC(=CS1)C23CC4CC(C2)CC(C3)C4)C#N	EN300-13872
CC(Cl)C(=O)C1=CC(=C(C=C1)C)C	EN300-05607
CC1=CSC(=N1)[N]2C(=CC(=C2C)C(=O)CCl)C	EN300-10308
FC1=C(C(=CC=C1)F)C(=O)CBr	EN300-13372
COC1=C(C=C(C=C1)C(=O)CCl)Cl	EN300-13169
CC(=O)NCC1=CC=C(S1)C(=O)CCl	EN300-12663
CC(NC(=O)C)C1=CC=C(C=C1)C(=O)CCl	EN300-15293
CC1=CC(=C(C)[N]1CC2CCCO2)C(=O)CCl	EN300-08223
CC(Cl)C(=O)C1=CC2=C(C=C1)N(CC2)C(=O)C	EN300-15384
CC(Cl)C(=O)C1=CC=CC=C1	EN300-24705
CC1=CC(=C(C)[N]1NC(=O)C2=NN(C)C(=O)C3=C2C=CC=C3)C(=O)CCl	EN300-11041
CC2CC1=C(C=CC(=C1)C(=O)CCl)N2C(=O)C	EN300-36238
CC(=O)NCCCC1=CC=C(C=C1)C(=O)CCl	EN300-13071
CC(C)(C)C(=O)NCC1=CC=C(S1)C(=O)CCl	EN300-12686
CC(CCC1=CC=C(C=C1)C(=O)CCl)NC(=O)C	EN300-12991
COC(=O)C1=C(C)[NH]C(=C1C)C(=O)CCl	EN300-08718
BrCC(=O)C1=CC(=CC=C1)N2CCCC2=O	EN300-23191
CC(Cl)C(=O)C1=C([N](C(=C1)C)C2=CC=C(C=C2)OC(F)F)C	EN300-08487
CC1=C(C(=C(C(=C1)C(=O)CCl)C)C)C	EN300-11364
ClC1CCCCCC1=O	EN300-26518
CC(C)C(=O)NC1=CC=C(C=C1)C(=O)C(C)Cl	EN300-12062
ClCC(=O)C1=CC=C(C=C1)OC2=CC=CC=C2	EN300-33564
ClCC(=O)C1=CC=C(C=C1)I	EN300-11473
CCC(C)C1=CC=C(C=C1)C(=O)CCl	EN300-01983
CC(Cl)C(=O)C1=C([N](C(=C1)C)CC2=CC=CO2)C	EN300-09171
CC1=CC(=C(C)[N]1CCC2=CC=CS2)C(=O)CCl	EN300-12887
CC1=C(SC2=C1C=CC=C2)C(=O)CBr	EN300-15170
CC1=CC(=C(C)[N]1C2=CC(=CC=C2)Cl)C(=O)CCl	EN300-11079
ClCC(=O)C1=C(SC(=C1)Cl)Cl	EN300-12414
ClCC(=O)C1=CC2=C(C=C1)CCCC2	EN300-11155
CC[N]1C(=CC(=C1C)C(=O)CCl)C	EN300-10583
CC(C)CC[N]1C(=CC(=C1C)C(=O)CCl)C	EN300-06912
CCOC1=CC=C(C=C1)[N]2C(=CC(=C2C)C(=O)CCl)C	EN300-10330
CC1=CC(=C(C)[N]1CC(F)(F)F)C(=O)CCl	EN300-09345
ClCC(=O)C1=C[N](CCC#N)C2=C1C=CC=C2	EN300-11163
CC1=CC(=C(C)[N]1C2=CC(=CC=C2)[S](=O)(=O)N3CCOCC3)C(=O)CCl	EN300-05726
C[S](=O)(=O)N1CCCC2=C1C=CC(=C2)C(=O)CCl	EN300-12096
CC(C)C1=CC(=C(C=C1)C(=O)CCl)C(C)C	EN300-10682
CC(C)C1=CC=C(C=C1)C(=O)CCl	EN300-09785
BrCC(=O)C(C#N)C1=CC=CC=C1	EN300-11407
BrCC(=O)C1=CC2=C(C=C1)C3=C(C2)C=CC=C3	EN300-45023
ClCC(=O)C1=C(C=CC(=C1)Cl)Cl	EN300-08649
BrCC(=O)C1=CC2=C(C=C1)OCC2	EN300-25680
CC1=CC(=CC=C1)C(=O)CBr	EN300-39719
C[N]1C=C(C=C1C(=O)N)C(=O)CCl	EN300-35592
ClCC(=O)C1=CC2=C(C=C1)N(CC2)C=O	EN300-37414
BrCC(=O)C1=CC2=C(C=C1)CCCC2	EN300-43569
CC(Cl)C(=O)CC1=CC=CC=C1	EN300-45519
OC1=C(C=C(C=C1)F)C(=O)CCl	EN300-42172
FC2=C(C=C1CCC(NC1=C2)=O)C(=O)CCl	EN300-41392
ClCC(=O)C1=C[NH]C2=C1C=CC=N2	EN300-43974
BrCC(=O)C1CC1	EN300-57214
CC2=C1C(=C[NH]C1=CC=C2)C(=O)CCl	EN300-54032
CC1=C(C2=C([NH]1)C=CC=C2)C(=O)CBr	EN300-52699
BrCC(=O)C1=CC2=C(C=C1)OCC(=O)N2	EN300-64853
COC1=C(C=C(C=C1)C(=O)C(C)Br)OC	EN300-59935
BrCC(=O)C1=CC2=C(C=C1)CCC2	EN300-60302
CN(C)C(=O)C1=CSC(=C1)C(=O)CCl	EN300-59924
COC1=C(C=C(C=C1)C(=O)CBr)Cl	EN300-65879
C[S](=O)(=O)NC1=CC=C(C=C1)C(=O)CBr	EN300-67255
NC(=O)C1=COC(=C1)C(=O)CCl	EN300-65989
CCCC(=O)CCl	EN300-59809
